Date,Open,High,Low,Close,Adj Close,Volume
2019-04-17,7.839000,7.935000,7.791000,7.825000,7.691695,13355114
2019-04-18,7.850000,7.870000,7.643000,7.783000,7.650411,14675634
2019-04-23,7.760000,7.776000,7.630000,7.658000,7.527540,11840093
2019-04-24,7.560000,7.713000,7.531000,7.592000,7.462664,12229468
2019-04-25,7.609000,7.957000,7.362000,7.479000,7.351590,27855443
2019-04-26,7.430000,7.442000,7.173000,7.341000,7.215940,25857045
2019-04-29,7.280000,7.395000,7.200000,7.395000,7.269021,16399913
2019-04-30,7.355000,7.451000,7.292000,7.369000,7.243464,10006605
2019-05-02,7.343000,7.591000,7.280000,7.389000,7.263123,13809271
2019-05-03,7.366000,7.437000,7.260000,7.346000,7.220855,9838325
2019-05-06,7.200000,7.246000,7.109000,7.200000,7.077342,12516254
2019-05-07,7.150000,7.204000,7.010000,7.017000,6.897460,16541635
2019-05-08,7.001000,7.088000,6.910000,7.040000,6.920068,13986738
2019-05-09,7.031000,7.031000,6.801000,6.860000,6.743134,18138946
2019-05-10,6.960000,7.020000,6.880000,6.942000,6.823738,14706367
2019-05-13,6.936000,6.954000,6.788000,6.804000,6.688088,12614104
2019-05-14,6.834000,6.888000,6.774000,6.888000,6.770658,10283481
2019-05-15,6.920000,6.938000,6.702000,6.844000,6.727407,14955713
2019-05-16,6.811000,6.912000,6.751000,6.912000,6.794249,11917061
2019-05-17,6.845000,6.869000,6.730000,6.843000,6.726424,14570135
2019-05-20,6.740000,6.798000,6.607000,6.645000,6.531797,17464904
2019-05-21,6.650000,6.734000,6.581000,6.710000,6.595690,14207764
2019-05-22,6.700000,6.729000,6.582000,6.615000,6.502308,13343412
2019-05-23,6.534000,6.536000,6.350000,6.457000,6.347000,23193778
2019-05-24,6.445000,6.460000,6.310000,6.367000,6.367000,13011441
2019-05-27,6.473000,6.513000,6.363000,6.447000,6.447000,9628873
2019-05-28,6.400000,6.460000,6.280000,6.305000,6.305000,18511868
2019-05-29,6.235000,6.259000,6.123000,6.152000,6.152000,15771740
2019-05-30,6.229000,6.285000,6.125000,6.193000,6.193000,9935630
2019-05-31,6.145000,6.150000,6.025000,6.087000,6.087000,17193650
2019-06-03,6.000000,6.010000,5.801000,5.975000,5.975000,22897840
